"TOA5","S3B","CR200X","23128","CR200X.Std.04","CSU_3depths.CR2","51716","Public"
"TIMESTAMP","RECORD","BattV","VWC_1","EC_1","T_1","P_1","PA_1","VR_1","VWC_2","EC_2","T_2","P_2","PA_2","VR_2","VWC_3","EC_3","T_3","P_3","PA_3","VR_3"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","","","","","","","","","","","","","","","","","","",""
"2023-04-22 20:30:05",259,12.65454,0,0.0001,19.2824,1,1.0817,1.0001,0,-0.0001,19.3644,1,1.0794,1.0002,0,0.0002,19.2113,1.0169,1.0772,1.0001
"2023-05-17 09:59:33",7108,13.41171,0.0649,0.054,21.799,4.3887,1.2817,1.0681,0.0682,0.0528,20.9188,4.5214,1.2817,1.0645,"NAN","NAN","NAN",0,0,0
"2023-05-17 10:00:32",7109,13.42515,0.0649,0.0541,21.8375,4.388,1.2817,1.0683,0.0676,0.0525,20.9627,4.4962,1.2806,1.0641,"NAN","NAN","NAN",0,0,0
"2023-05-17 10:02:04",7111,13.41843,0.0649,0.0542,22.0132,4.3873,1.2817,1.0684,0.0683,0.0523,21.075,4.525,1.2817,1.0639,"NAN","NAN","NAN",0,0,0
"2023-05-17 10:04:57",7113,13.41171,0.0648,0.0544,22.1973,4.3855,1.2817,1.0687,0.0683,0.0523,21.2093,4.5247,1.2817,1.064,"NAN","NAN","NAN",0,0,0
"2023-05-29 17:03:12",17521,13.28832,0.2351,0.4056,26.3613,12.534,1.5993,1.516,0.1747,0.3474,20.8805,9.3127,1.5033,1.4257,0.1135,0.1541,19.0636,6.4453,1.3812,1.1926
"2023-06-09 15:25:23",33263,13.3454,0.2541,0.4228,24.5719,13.6551,1.6287,1.538,0.2512,0.4882,20.7791,13.4792,1.631,1.5997,0.1454,0.1742,19.8431,7.8983,1.4321,1.2178
"2023-06-12 10:30:17",37288,13.4092,0.2042,0.3258,22.0571,10.828,1.544,1.4139,0.2237,0.4413,21.7798,11.89,1.5858,1.5416,0.1353,0.1686,21.1517,7.4284,1.4162,1.2109
"2023-06-12 10:30:50",37288,13.4092,0.2042,0.3258,22.0571,10.828,1.544,1.4139,0.2237,0.4413,21.7798,11.89,1.5858,1.5416,0.1353,0.1686,21.1517,7.4284,1.4162,1.2109
"2023-06-13 15:58:55",39056,13.43018,0.1804,0.3075,25.6107,9.5966,1.5078,1.3904,0.2026,0.4091,22.3677,10.7462,1.5519,1.5019,0.1306,0.1635,21.16,7.2123,1.4083,1.2045
"2023-06-14 14:35:45",40413,13.36722,0.3658,0.4323,22.9044,21.7198,1.8051,1.5502,0.3387,0.506,21.9528,19.4684,1.7632,1.6218,0.2701,0.1733,21.371,14.6411,1.6197,1.2168
"2023-06-14 14:37:56",40415,13.35715,0.3658,0.4331,22.954,21.7163,1.8051,1.5513,0.3393,0.4975,21.9281,19.5138,1.7632,1.6112,0.2701,0.1735,21.3902,14.6406,1.6197,1.2169
"2023-06-14 14:40:29",40418,13.36722,0.3658,0.4326,22.9954,21.7187,1.8051,1.5505,0.3395,0.5047,21.9363,19.5311,1.7644,1.6201,0.2701,0.1737,21.3957,14.6398,1.6197,1.2172
"2023-06-21 10:09:20",50226,13.38401,0.2396,0.3531,21.3656,12.7957,1.5982,1.4487,0.267,0.4766,21.7716,14.4427,1.6513,1.5853,0.1597,0.184,21.3436,8.5793,1.4547,1.2302
"2023-07-01 10:11:39",64628,13.45117,0.2641,0.3564,20.0948,14.265,1.6344,1.453,0.2744,0.4402,20.9407,14.9128,1.657,1.5403,0.1703,0.1596,20.9846,9.0923,1.466,1.1995
"2023-07-20 09:38:45",91957,13.35044,0.28,0.4027,23.6163,15.275,1.6638,1.5122,0.2812,0.4835,24.311,15.3541,1.6728,1.5938,0.1752,0.1772,24.0672,9.3387,1.4761,1.2216
"2023-07-20 09:40:52",91959,13.36806,0.2801,0.4017,23.6052,15.2802,1.6638,1.511,0.2812,0.4836,24.2999,15.3536,1.6728,1.594,0.1754,0.1755,24.0478,9.3479,1.4761,1.2195
"2023-07-20 10:30:30",92009,13.34036,0.2785,0.403,23.6578,15.1748,1.6615,1.5127,0.2799,0.4814,24.1835,15.2655,1.6706,1.5913,0.1745,0.1767,24.0146,9.3033,1.475,1.2209
"2023-08-08 16:34:50",119734,13.26817,0.2342,0.375,24.6357,12.4871,1.5937,1.4768,0.2634,0.4563,23.4257,14.224,1.6434,1.5602,0.1722,0.177,23.034,9.1867,1.4716,1.2214
"2023-08-23 11:53:28",141053,13.34204,0.113,0.1687,22.5383,6.4224,1.3857,1.2136,0.1423,0.2419,22.9458,7.7523,1.4388,1.2959,0.1401,0.1796,23.2049,7.6479,1.4253,1.2246
"2023-09-11 09:59:44",168299,13.47215,0.2557,0.3728,19.1156,13.7525,1.6242,1.4739,0.2617,0.4422,20.051,14.1153,1.6389,1.5428,0.1658,0.1788,20.3821,8.8726,1.4626,1.2236
"2023-10-01 10:35:27",197135,13.56365,0.2185,0.3032,15.6133,11.6039,1.5609,1.385,0.2404,0.3779,16.4214,12.8404,1.5993,1.4633,0.1463,0.1487,16.8164,7.9406,1.4287,1.1858
