"TOA5","S3B","CR200X","23128","CR200X.Std.04","CSU_3depths.CR2","51716","Table3"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-04-28 00:00:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-04-29 00:00:00",1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-04-30 00:00:00",2,0.06327654,0.03068923,12.61279,0.07605492,0.03693924,11.98209,"NAN","NAN","NAN"
"2023-05-01 00:00:00",3,0.03928064,0.01513381,14.27198,0.07800774,0.03587551,13.95684,"NAN","NAN","NAN"
"2023-05-13 00:00:00",0,1.321762E-05,0.0002476642,21.35728,0,-1.268359E-05,21.54267,"NAN","NAN","NAN"
"2023-05-14 00:00:00",1,0,0.0002727083,17.85769,0,0.0001959726,15.8747,"NAN","NAN","NAN"
"2023-05-15 00:00:00",2,0,0.0004816661,17.74393,0,0.000455625,16.69064,"NAN","NAN","NAN"
"2023-05-16 00:00:00",3,"NAN","NAN","NAN",0.04110789,0.03495289,18.91529,"NAN","NAN","NAN"
"2023-05-16 00:00:00",3,"NAN","NAN","NAN",0.04110789,0.03495289,18.91529,"NAN","NAN","NAN"
"2023-05-17 00:00:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-18 00:00:00",0,0.06878384,0.0565755,26.69513,0.06981223,0.05707599,24.91796,"NAN","NAN","NAN"
"2023-05-19 00:00:00",1,0.06661456,0.05348172,23.80833,0.0686356,0.05486771,22.44772,"NAN","NAN","NAN"
"2023-05-20 00:00:00",2,0.06473552,0.0523365,23.92689,0.06756398,0.0532406,22.555,"NAN","NAN","NAN"
"2023-05-21 00:00:00",3,0.0633954,0.05069195,23.78556,0.06634513,0.05041735,22.62239,"NAN","NAN","NAN"
"2023-05-22 00:00:00",4,0.06163956,0.04969495,23.35605,0.06475049,0.05004685,22.43494,"NAN","NAN","NAN"
"2023-05-23 00:00:00",5,0.06022596,0.04840839,23.14645,0.06365333,0.04877077,22.31742,"NAN","NAN","NAN"
"2023-05-24 00:00:00",6,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-25 00:00:00",7,0.1517345,0.1934933,24.44292,0.10913,0.1497573,23.72744,0.08432061,0.1053859,22.26293
"2023-05-26 00:00:00",8,0.2763032,0.3824111,20.94415,0.1716131,0.3049399,20.71747,0.1367798,0.1937611,20.17518
"2023-05-27 00:00:00",9,0.2646214,0.3937799,20.93791,0.1735023,0.3228729,20.27859,0.1275671,0.1767662,19.56652
"2023-05-28 00:00:00",10,0.2524502,0.3836775,20.6917,0.1736647,0.3300928,20.10164,0.1215248,0.1677971,19.38478
"2023-05-29 00:00:00",11,0.2425055,0.3749468,21.08094,0.1735503,0.3336053,19.95305,0.1171305,0.1602416,19.09326
"2023-05-30 00:00:00",12,0.233806,0.3736196,22.41151,0.1744613,0.3449281,20.8277,0.1142007,0.1573923,19.5199
"2023-05-31 00:00:00",13,0.2246977,0.3609341,22.51362,0.1740773,0.3494077,21.24099,0.1109445,0.1551279,19.96653
"2023-06-01 00:00:00",14,0.2163941,0.343506,21.88996,0.1728925,0.3485547,21.03403,0.1081181,0.1512782,20.0009
"2023-06-02 00:00:00",15,0.2092648,0.3278009,21.25334,0.1713829,0.346703,20.75948,0.1052857,0.1470587,19.90158
"2023-06-03 00:00:00",16,0.2352635,0.3406316,19.90011,0.1938379,0.3752904,19.89934,0.1234562,0.1596335,19.4192
"2023-06-04 00:00:00",17,0.3287492,0.4264404,19.49604,0.2980764,0.5230299,18.99392,0.1905184,0.1906563,18.69848
"2023-06-05 00:00:00",18,0.3143703,0.4519295,21.11834,0.2877199,0.5215063,19.93863,0.1759196,0.1888756,18.97431
"2023-06-06 00:00:00",19,0.3021422,0.4565201,21.78785,0.2795036,0.5234072,20.59514,0.1672289,0.1887017,19.47655
"2023-06-07 00:00:00",20,0.2897313,0.4382745,21.25582,0.2724624,0.5152031,20.51443,0.160391,0.1857003,19.61047
