"TOA5","S3T","CR200X","23124","CR200X.Std.04","CSU_3depths.CR2","51716","Public"
"TIMESTAMP","RECORD","BattV","VWC_1","EC_1","T_1","P_1","PA_1","VR_1","VWC_2","EC_2","T_2","P_2","PA_2","VR_2","VWC_3","EC_3","T_3","P_3","PA_3","VR_3"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","","","","","","","","","","","","","","","","","","",""
"2023-05-17 08:39:30",5793,13.47887,0,0,0,0,0,0,0.1917,0.5436,15.8912,10.1769,1.562,1.6995,0.3884,1.4379,15.2912,23.799,1.978,2.8916
"2023-05-17 08:50:34",5804,13.46628,0,0,0,0,0,0,0.1909,0.5431,16.2978,10.1347,1.5609,1.6988,0.3891,1.4391,15.4895,23.8693,1.9791,2.8933
"2023-05-17 10:11:41",5885,13.35715,0,0,0,0,0,0,0.1913,0.5466,19.0718,10.1523,1.562,1.7034,0.3902,1.4499,16.8466,23.9715,1.9825,2.9079
"2023-05-29 16:48:27",23562,13.23124,"NAN","NAN","NAN",0,0,0,0.325,1.3916,19.1265,18.4106,1.9,2.8197,0.4276,1.4384,18.3087,27.9725,2.03,2.8924
"2023-06-01 16:09:22",27843,13.37646,"NAN","NAN","NAN",0,0,0,0.3242,1.3095,19.4438,18.3499,1.8808,2.7096,0.4165,1.4358,19.0281,26.7168,2.0142,2.8888
"2023-06-05 12:06:37",33359,13.36639,"NAN","NAN","NAN",0,0,0,0.3334,1.2773,18.689,19.0497,1.8842,2.6665,0.4113,1.2343,18.6589,26.1385,1.9723,2.6174
"2023-06-07 14:40:34",36393,13.29084,"NAN","NAN","NAN",0,0,0,0.3264,1.2356,18.9597,18.5172,1.8672,2.6107,0.4009,1.1618,18.6343,25.0501,1.9452,2.5203
"2023-06-07 14:43:53",2,13.27908,0.3274,0.4992,22.6649,18.5881,1.7429,1.6455,0.3265,1.235,18.9488,18.5244,1.8672,2.61,0.4005,1.1652,18.6261,25.0114,1.9452,2.5248
"2023-06-08 11:48:10",1267,13.38065,0.312,0.442,19.3836,17.4535,1.7124,1.5709,0.3232,1.2161,19.1074,18.2743,1.8593,2.5847,0.3985,1.1559,19.0336,24.8023,1.9407,2.5124
"2023-06-09 15:00:16",2899,13.22788,0.2969,0.4717,23.4671,16.4005,1.6932,1.6096,0.319,1.1964,19.7337,17.9652,1.8503,2.5585,0.3956,1.147,19.4028,24.5133,1.935,2.5005
"2023-06-12 10:47:09",6966,13.30762,0.2266,0.3538,21.6042,12.053,1.5756,1.4563,0.3034,1.1228,21.3025,16.8467,1.8164,2.4606,0.3891,1.1225,20.6532,23.866,1.9215,2.4678
"2023-06-13 15:38:58",8697,13.33616,0.2012,0.3412,25.064,10.6741,1.5383,1.4399,0.2923,1.0722,21.3052,16.0896,1.7926,2.3934,0.3819,1.0895,20.6586,23.1803,1.9057,2.4237
"2023-06-21 09:40:44",19859,13.32189,0.2693,0.3757,20.2836,14.5873,1.64,1.4847,0.3141,1.0513,21.5822,17.6068,1.8141,2.3656,0.382,0.8958,20.9435,23.1888,1.8751,2.1663
"2023-07-01 09:44:26",34262,13.38905,0.3016,0.3734,18.7765,16.7204,1.6886,1.4817,0.3126,0.9457,20.4478,17.5018,1.7915,2.2261,0.3781,0.7342,20.3821,22.8238,1.8469,1.9528
"2023-07-20 09:07:07",61585,13.32189,0.3212,0.423,22.6593,18.1295,1.7248,1.5462,0.3163,0.865,24.0423,17.7643,1.7813,2.1198,0.3882,0.6361,23.7186,23.7818,1.8525,1.8241
"2023-08-08 15:52:53",89353,13.22956,0.2714,0.413,24.5497,14.7204,1.6479,1.5332,0.2932,0.7109,22.409,16.1482,1.7237,1.9176,0.3752,0.6009,22.4557,22.5578,1.8265,1.7779
"2023-08-23 11:12:25",110673,13.31098,0.1351,0.1954,21.9391,7.4187,1.4196,1.2513,0.2055,0.4475,22.8108,10.8997,1.562,1.5748,0.3302,0.4828,23.1773,18.8031,1.7406,1.6237
"2023-08-23 11:14:06",110675,13.30762,0.1348,0.198,21.9775,7.403,1.4196,1.2546,0.2054,0.4481,22.8053,10.8958,1.562,1.5756,0.3303,0.4811,23.1663,18.8125,1.7406,1.6214
"2023-09-11 09:15:26",137916,13.42934,0.2914,0.3919,18.1474,16.0251,1.6751,1.5057,0.2994,0.6064,19.8704,16.5728,1.7158,1.7812,0.3716,0.4922,20.3384,22.2307,1.8096,1.6359
