"TOA5","S4M","CR200X","23117","CR200X.Std.04","CSU_3depths.CR2","51716","Public"
"TIMESTAMP","RECORD","BattV","VWC_1","EC_1","T_1","P_1","PA_1","VR_1","VWC_2","EC_2","T_2","P_2","PA_2","VR_2","VWC_3","EC_3","T_3","P_3","PA_3","VR_3"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","","","","","","","","","","","","","","","","","","",""
"2023-05-29 16:56:58",24721,13.27489,0.2367,0.3163,25.7476,12.6261,1.5767,1.3969,0.1674,0.415,20.3657,8.9494,1.501,1.5216,0.2119,0.4836,19.0745,11.2414,1.5722,1.6208
"2023-06-08 16:46:32",39111,13.26313,0.1646,0.2303,26.5861,8.8164,1.4615,1.2887,0.1551,0.3534,21.2038,8.3575,1.4728,1.4437,0.1945,0.4463,19.9279,10.322,1.5428,1.5724
"2023-06-09 15:16:49",40462,13.27992,0.1509,0.2067,24.1863,8.1572,1.4377,1.259,0.1516,0.3377,20.8175,8.187,1.4648,1.4238,0.1903,0.4393,20.2864,10.1039,1.5361,1.5634
"2023-06-12 10:40:57",44506,13.32105,0.1122,0.1537,22.2,6.3896,1.371,1.1926,0.1393,0.3028,22.1698,7.6102,1.4411,1.3798,0.1726,0.4003,21.6124,9.2067,1.5055,1.513
"2023-06-13 15:51:28",46257,13.40416,0.1018,0.1472,25.3845,5.9324,1.3541,1.1845,0.1305,0.2791,22.266,7.2078,1.4242,1.3499,0.1616,0.3692,21.4396,8.6709,1.4852,1.4729
"2023-06-21 09:47:53",57413,13.34876,0.1739,0.2197,20.5792,9.2738,1.4728,1.2753,0.1935,0.3916,21.7743,10.2659,1.5315,1.492,0.2218,0.4532,21.4122,11.7862,1.5801,1.5814
"2023-07-01 10:04:39",71830,13.34792,0.1896,0.2278,19.813,10.0677,1.4965,1.2855,0.2038,0.368,21.1271,10.8111,1.5417,1.4621,0.2081,0.4343,21.1463,11.0405,1.5587,1.557
"2023-07-20 09:30:29",99158,13.31854,0.2279,0.2771,23.4395,12.1253,1.5587,1.3475,0.2125,0.4258,24.3526,11.2737,1.5632,1.5352,0.1695,0.3977,24.1558,9.0555,1.501,1.5096
"2023-08-08 16:03:05",126912,13.25726,0.0894,0.1126,26.5496,5.4041,1.3269,1.1411,0.0867,0.1776,24.4303,5.2881,1.3383,1.2223,0.108,0.2947,24.0174,6.2051,1.3982,1.3768
"2023-08-23 11:20:12",148229,13.3177,0.0906,0.1234,22.0104,5.453,1.3315,1.1547,0.1132,0.2447,23.0974,6.4311,1.3925,1.3066,0.1514,0.49,23.5141,8.1773,1.4965,1.629
"2023-09-11 09:24:02",6746,13.54602,0.2168,0.2619,18.9789,11.51,1.5406,1.3284,0.2092,0.4185,20.3192,11.0983,1.5575,1.526,0.2432,0.7684,20.6833,13.0041,1.666,1.9918
