"TOA5","S4T","CR200X","23116","CR200X.Std.04","CSU_3depths.CR2","51716","Table1"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-04-25 20:30:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-01 13:45:00",1,0,0.0001625,22.6024,0,3.75E-05,22.38864,0,0.000225,22.44487
"2023-05-01 14:00:00",2,0,0.0001,26.64211,0,-3.333334E-05,26.60313,0,0.0002166667,27.07897
"2023-05-01 14:15:00",3,0,0.04054,28.3132,0,6E-05,27.98762,0,0.01406,28.69133
"2023-05-01 14:30:00",4,0,0.33326,32.43847,0,-4E-05,31.27372,0.0126,3.333333E-05,32.46557
"2023-05-01 14:45:00",5,0,0.34742,34.49792,0,2.666666E-05,33.41847,0.02701334,-6.666668E-06,34.41719
"2023-05-01 15:00:00",6,0,0.3498,34.83185,0,-2E-05,34.19948,0.02707333,6.666667E-05,34.54192
"2023-05-01 15:15:00",7,0,0.3503733,35.24102,0,-3.333333E-05,35.03646,0.0276,3.333333E-05,34.56573
"2023-05-01 15:30:00",8,0,0.3502,33.87383,0,-1.333333E-05,34.48394,0.02746667,1.333334E-05,33.10384
"2023-05-01 15:45:00",9,0,0.3505933,35.11691,0,-6.000001E-05,34.87409,0.02763333,2E-05,34.25562
"2023-05-01 16:00:00",10,0,0.35074,33.09707,0,6.666666E-06,33.67629,0.02215333,5.999999E-05,32.60665
"2023-05-01 16:15:00",11,0,0.3510866,30.64812,0,-6.666668E-06,31.85127,0.0144,8E-05,30.11248
"2023-05-01 16:30:00",12,0,0.3513467,30.13982,0,1.333333E-05,30.90986,0.0126,6.666666E-05,29.62266
"2023-05-01 16:45:00",13,0,0.3515067,33.26355,0,2E-05,32.31049,0.01992,-9.701277E-13,33.21931
"2023-05-01 17:00:00",14,0,0.3500867,34.63451,0,-3.333333E-05,33.4318,0.02575333,6.666668E-06,35.20726
"2023-05-01 17:15:00",15,0,0.35154,33.61268,0,-6.666668E-06,33.06668,0.02761333,-1.333333E-05,34.40154
"2023-05-01 17:30:00",16,0,0.35114,32.82771,0,3.333333E-05,32.19739,0.02726666,0.0001133333,33.7593
"2023-05-01 17:45:00",17,0,0.3507267,32.2689,0,-7.333334E-05,31.4639,0.02699334,3.333333E-05,33.13106
"2023-05-01 18:00:00",18,0,0.3508067,31.36724,0,3.333333E-05,30.55753,0.02521333,-3.333333E-05,31.90042
"2023-05-01 18:15:00",19,0,0.3506533,30.49809,0,2.666667E-05,29.49463,0.02521333,-3.333333E-05,30.89682
"2023-05-01 18:30:00",20,0,0.35106,29.44595,0,-2.666667E-05,28.47198,0.027,6.666667E-05,29.46261
"2023-05-01 18:45:00",21,0,0.35062,28.20113,0,6.666667E-05,27.12333,0.02641333,2.666666E-05,27.92202
"2023-05-01 19:00:00",22,0,0.3502666,27.79852,0,6.666667E-05,26.14756,0.02639333,0.0001,27.51702
"2023-05-01 19:15:00",23,0,0.3501533,26.89909,0,-2E-05,25.12779,0.02639333,9.333334E-05,26.80649
"2023-05-01 19:30:00",24,0,0.3504933,25.3979,0,6.666665E-06,23.93915,0.0264,0.0001,25.61701
"2023-05-01 19:45:00",25,0,0.35056,22.86526,0,-6.666668E-06,22.27265,0.02588,6E-05,23.44876
"2023-05-01 20:00:00",26,0,0.3485666,20.30189,0,4.666667E-05,20.46082,0.02548,0.0001,20.66665
"2023-05-01 20:15:00",27,0,0.3491667,17.47991,0,8.666666E-05,18.32995,0.0252,0.0001066667,17.30587
"2023-05-01 20:30:00",28,0,0.3489533,15.2823,0,8.666667E-05,16.42007,0.02466,9.999999E-05,14.91579
"2023-05-01 20:45:00",29,0,0.3490734,13.40133,0,6.666666E-06,14.66802,0.02460667,0.00012,13.02667
"2023-05-01 21:00:00",30,0,0.34892,11.69558,0,5.333334E-05,13.08366,0.02460667,0.0001533333,11.30533
"2023-05-01 21:15:00",31,0,0.3482533,10.47299,0,0.0001533333,11.81915,0.02460667,0.00018,10.15557
