"TOA5","S4T","CR200X","23116","CR200X.Std.04","CSU_3depths.CR2","51716","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-05-02 00:00:00",0,12.98864,0,0.337829,22.77163,0,2.392738E-05,22.78158,0.02360151,0.000446535,22.76261
"2023-05-02 12:00:00",1,12.96933,0,0.3462628,11.77438,0,3.097219E-05,11.81469,0.02230383,0.0001734726,11.83027
"2023-05-03 00:00:00",2,12.97353,0,0.349426,20.99679,0,2.541666E-05,20.82912,0.02519373,0.0001327779,21.03899
"2023-05-03 12:00:00",3,12.9517,0,0.3471087,7.591026,0,9.736125E-05,7.822255,0.02267995,0.0002636122,7.532697
"2023-05-04 00:00:00",4,12.97437,0,0.3484419,24.41553,0,1.86111E-05,24.29766,0.02400841,8.888896E-05,24.2879
"2023-05-04 12:00:00",5,12.94834,0,0.3153226,16.88987,0,3.319441E-05,16.994,0.00871083,0.000174306,16.97061
"2023-05-05 00:00:00",6,12.97353,0,0.242754,21.36607,0,2.805552E-05,21.08277,0.0003369444,0.0002068062,21.4467
"2023-05-05 12:00:00",7,12.95086,0,0.2643204,9.329435,0,4.722226E-05,9.620914,0.001615139,0.0002412509,9.05547
"2023-05-06 00:00:00",8,12.95842,0,0.25956,17.23346,0,2.458331E-05,17.39952,0.0001368056,0.0002015283,17.12792
"2023-05-06 12:00:00",9,12.94079,"NAN","NAN","NAN",6.361111E-05,0.002617778,10.79365,0.006369723,0.01183986,10.14925
"2023-05-07 00:00:00",10,13.17163,0.001326805,0.03359926,18.93118,0,0.009933865,18.54116,0.02873106,0.0866802,18.83856
"2023-05-16 00:00:00",0,0,0.05598114,0.05345696,21.04533,0.1509534,0.2706721,21.84727,0.2056421,0.585332,20.1733
"2023-05-16 12:00:00",1,13.16324,0.05893954,0.05209393,14.72008,0.1651452,0.2850799,15.49662,0.2281598,0.6305977,14.34943
"2023-05-17 00:00:00",2,13.222,0.06330855,0.0603454,24.86383,0.167652,0.2971597,23.61816,0.2275994,0.6513505,20.77739
"2023-05-17 12:00:00",3,13.17331,0.05667888,0.05043366,14.91249,0.1620218,0.2776361,15.75601,0.2246168,0.6226947,14.54079
"2023-05-18 00:00:00",4,13.22032,0.06137886,0.05813473,25.17296,0.1648422,0.2902234,23.86788,0.2240919,0.6405748,20.70427
"2023-05-18 12:00:00",5,13.18507,0.05650623,0.05056681,17.6718,0.1608,0.2775497,17.86164,0.2223596,0.6266938,16.5673
"2023-05-19 00:00:00",6,13.23963,0.06001169,0.05735387,25.61303,0.1629628,0.2899269,24.58385,0.2221383,0.6429732,21.63765
"2023-05-19 12:00:00",7,13.19178,0.05421481,0.04817893,16.04715,0.1579288,0.2716429,16.88817,0.2188506,0.6143675,15.6524
